time;logger;level;message;exception
2012-03-14 09:46:25.6810;Raven.Database.Server.HttpServer;Debug;Request #  46: GET     -    49 ms - <default>  - 200 - /stats?noCache=-590487411;
2012-03-14 09:46:27.7240;Raven.Database.Server.HttpServer;Debug;Request #  47: GET     -    51 ms - <default>  - 200 - /docs/?start=0&pageSize=20&noCache=456085208;
2012-03-14 09:46:30.9430;Raven.Database.Server.HttpServer;Debug;Request #  48: GET     -    67 ms - <default>  - 200 - /stats?noCache=1386104470;
2012-03-14 09:46:31.6860;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-03-14 09:46:31.6860;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Hilo/items' was found;
2012-03-14 09:46:31.6860;Raven.Database.Server.HttpServer;Debug;Request #  50: GET     -     1 ms - <default>  - 200 - /docs/Raven/Hilo/items;
2012-03-14 09:46:31.6860;Raven.Database.Server.HttpServer;Debug;Request #  49: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-03-14 09:46:31.7600;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'Raven/Hilo/items', update: True, ;
2012-03-14 09:46:31.8050;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 8 because: PUT Raven/Hilo/items;
2012-03-14 09:46:31.8050;Raven.Database.DocumentDatabase;Debug;Put document Raven/Hilo/items with etag 00000000-0000-0100-0000-000000000004;
2012-03-14 09:46:31.8050;Raven.Database.Server.HttpServer;Debug;Request #  51: PUT     -    49 ms - <default>  - 201 - /docs/Raven/Hilo/items;
2012-03-14 09:46:31.8240;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0100-0000-000000000003;
2012-03-14 09:46:31.8240;Raven.Database.Impl.DocumentRetriever;Debug;Triggered Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/items;
2012-03-14 09:46:31.8240;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 0 documents remained;
